Title,Year,Quote,Trans

16 December,Release Year - 2002,Sar jhukane ka anjaam ... sar katane se kitna bura hota hai,The consequences of bowing down your head ... is far worse than getting your head chopped

16 December,Release Year - 2002,Sher ko jungle se pakad kar pinjare mein bandh kar diya hai ... magar sher toh pinjare mein bhi ghaas nahin khata,They have caught the tiger and locked in a cage ... but a tiger does not eat grass even in the cage

16 December,Release Year - 2002,Main sirf do kisam ke insaanon ko pehchaanta hoon ... ek dost aur doosra dushman,I only know people of two types ... one friend and second enemy

16 December,Release Year - 2002,Hum sirf khelne ke liye nahin ... jeetne ke liye aaye hain,We have come not only to play ... but to win

Heera,Release Year - 1973,Maine bhi us dharti par janam liya hai ... jahan auratein apni izzat ki rakhsha ke liye sati ho jaati hai,I am also born on that land ... where women undergo sati in order to protect their honor

Heera,Release Year - 1973,Paap karna bura hai ... lekin usse bhi bura hai paap karke bhagna,It is bad to do a sin ... but worse than that is to do a sin and run

Heera,Release Year - 1973,Yeh tumhari zindagi ka sabse aakhri dastagaz hoga ... iske baad zindagi mein tumhe kabhi bhi dastagaz karne ki zaroorat nahin padegi,This will be your last signature in life ... after this in life you will not have any need to do a signature

Tezaab,Release Year - 1988,Pyar toh rahega ... uske dil mein nafrat ki tarah aur mere dil mein nasoor ki tarah,There will be love ... as hatred in her heart and as a wound in my heart

Tezaab,Release Year - 1988,"Nasik ho yah Bambai ... ladkiyan ladkiyan hoti hai, patane ka tarika aana chahiye ... pyar kiya nahin jaata, karvaya jaata hai","Be it is Nasik or Mumbai ... girls are girls, one should know how to impress them ... love doesn't happen, it is made to happen"

Tezaab,Release Year - 1988,Tujh jaise desh drohiyon ko kanoon ke pairon par jhukane ke liye ... na vardi ki zaroorat hai aur na hi is pistol ki ... mere desh ke naujawanon ke sirf do haath hi kaafi hai,To bend a traitor like you in front of the law ... one doesn't need an uniform and neither this pistol ... only two young hands of my country are enough for that

Tezaab,Release Year - 1988,Aadmi ko sirf rishtey rokte hain ... aur mera koi rishta nahin,Only relations stop a man ... and I don't have any relation

Jaal,Release Year - 1986,Jiski zaroorat ussoolon se badi hoti hai ... woh na nahin bol sakta,One whose needs are bigger than his rules ... he can't say no

Jaal,Release Year - 1986,Pyar mein mohabbat mein dil joh toot jaate hain ... log aisi halat mein tere paas aate hain,The hearts that break in love ... people come to you in that state

Jaal,Release Year - 1986,Kabhi kabhi sainkro saal ek pal ke aage haar jaate hain,Sometimes many many years lose in front of one moment

Jaal,Release Year - 1986,Jab aulaad dushman ban jaye ... toh maa baap ko atmahatya kar leni chahiye,When a child becomes the enemy ... then the parents must commit suicide

Yes Boss,Release Year - 1997,"Aadmi achcha hoon, iraada nek hai aur mausam first class hai ... chale?","I am a good man, intention is good and the weather is great ... can we go?"

Yes Boss,Release Year - 1997,Zindagi ki har baat sirf sach yah jhoot nahin hoti,Everything in life is not only either true or false

Yes Boss,Release Year - 1997,Achche logon ke saath hamesha achcha hota hai,Good things always happen with good people

Yes Boss,Release Year - 1997,Meri shaadi mere sapne se ho chuki hai,I am married to my dream

Jab Tak Hai Jaan,Release Year - 2012,Main har din maut ko gale lagaonga,I will hug death everyday

Jab Tak Hai Jaan,Release Year - 2012,Hamari line mein kismat sirf ek baar dokha deti hai,In our line destiny can only betray once

Jab Tak Hai Jaan,Release Year - 2012,Done done London karo ji,Let us say yes in London style

Jab Tak Hai Jaan,Release Year - 2012,"Yadhaash bhi kitni ajeeb cheez hoti hai ... kis cheez ko poori zindagi bhoolne ki koshish karo, woh bhoolti nahi ... kabhi ek choti si cheez yaad karne ki koshish karo, toh yaad nahi aati","Memory is such a strange thing ... when you try to forget a thing your whole life, you can't forget it ... and when you try to remember a small thing, you can't remember that"

Awara Paagal Deewana,Release Year - 2002,"Chalo chalo chalo, jaldi se crore ko pati se alag kardo ","Go go go, lets quickly separate the money from the husband"

Awara Paagal Deewana,Release Year - 2002,Baahar aag hai aur andar jwalamukhi hai ... jaaye toh kidhar jaaye?,Outside there is a fire and inside there is a volcano ... where should we go?

Awara Paagal Deewana,Release Year - 2002,Anna tum logo ko ganne ki tarah chil chil ke chota kar daalega ... samjha na?,Anna will peel you like a sugarcane and will make you small ... got it?

Awara Paagal Deewana,Release Year - 2002,Morning morning mein gents ka paise mangna ... ladies ke liye bahot bura bad luck honda hai,Gents asking for money early in the morning ... is a big bad luck for ladies

Table No. 21,Release Year - 2013,Kehte hai shaadi mein agar pyar banaye rakhna hai toh do cheezein bahut zaroori hoti hai ... pati ki haar aur heeron ka haar,It is said that if you want to maintain the love in a marriage then two things are very important ... a husbands defeat and a necklace of diamonds

Table No. 21,Release Year - 2013,"Khushiyan kisi ki mohtaj nahin hoti, dosti yunhi ittefaq se nahin hoti ... kuch toh maine honge is pal ke, warna yunhi aapse mulaqat nahin hoti","Happiness does not depend on anything, friendship does not happen by chance ... there might some reasons to this moment, otherwise we wouldn't have met just like that"

Table No. 21,Release Year - 2013,Maut se zyada khoobsurat entertainment koi nahin,There is no other entertainment more beautiful than death

Table No. 21,Release Year - 2013,Usse door se hi taakta raha ... bas yunhi waqt kaatta raha ... na jaane kyun nigahen thami rahi ... bas uske chehre par hi jami rahi ... kabhi chand samajhkar kabhi chandni ... hum usse dekhte rahe tehzeeb se ... par kabhi socha na tha unka deedar hoga inte kareeb se,I kept staring at her from a distance ... I was spending my time just like that ... I don't know why my eyes got stuck ... but they were focused on just her face ... sometimes like the moon and sometimes like the moonlight ... I kept looking at her in a good manner ... but I had never thought that I will see her this closely

Mohra,Release Year - 1994,Dobara agar koi chaal chalne ki koshish ki toh main nahi bolunga ... meri AK47 bolegi,If you try to play another ploy then I won't speak ... my AK47 (gun) will speak

Mohra,Release Year - 1994,Barood ke dher par beth kar aag ka khel nahi khelte,One should not play the game of fire when sitting on a pile of gunpowder

Mohra,Release Year - 1994,Aankhen andar ka haal bata deti hai ... sirf padne wali nazar honi chahiye,Eyes tell you the condition within ... one only needs a vision to read it

Mohra,Release Year - 1994,"Mujrim maa ke pet se janam nahin leta ... usse janam deta hai tumhara kanoon, tumhari police","A criminal is not born from a mothers womb ... your law, your police gives birth to him"

Himmatwala (1983),Release Year - 1983,Tumhari yeh baat sunkar mera dil Hyderabad ki tarah aabad ho gaya,Listening to this point of yours my heart has become happy like Hyderabad

Himmatwala (1983),Release Year - 1983,Ladki toh pehda hi hoti hai zulm sehne ke liye,A girl is born to endure injustice

Himmatwala (1983),Release Year - 1983,"Hum unlogo mein se nahin hai, joh saanp ka sar kuchalkar usse maar dalte hai ... hum unlogo mein se hai, joh saanp ka sar pakad lete hai aur uske baad uske zehrile daanton ko nikaalkar ... usse nachate hai aur paisa kamate hai",I am not someone who crushes a snakes head and kills it ... I am someone who catches the snakes head and removes the poisonous teeth ... and then I'll make it dance and make money

Himmatwala (1983),Release Year - 1983,Aaj jahan fan latak raha hai ... kal wahan meri laash latak rahi hogi,Today where the fan is hanging ... tomorrow my dead body will be hanging there

Tridev,Release Year - 1989,"Paap se dharti phati, adharm se aasmaan, atyachaar se kaanpi insaaniyat, raj kar rahe haivaan ... jinki hogi taqat apoorv, jinka hoga nishana abhed, joh karenge inka sarvanaash ... woh kehlayenge Tridev!","The earth is torn by sin, the heavens are cleaved by wrong, atrocities leave humanity trembling, the satans are ruling ... those who will have infinite strength, those who will target the evil unflinchingly, those who will destroy the wrong-doers ... they will be called trinity"

Tridev,Release Year - 1989,Police ka kaam hai kauwon ki tarah choch marna ... aur hamara kaam hai unhe bajra dalkar gumrah karna,The work of police is to peck like a crow ... and our work is to feed them pearl millet and misdirect them

Tridev,Release Year - 1989,Joh insaan jurm ke khilaaf awaaz uthata hai ... usko duniya baaghi hi kehti hai,A human who raises his voice against crime ... is called a rebel by the world

Tridev,Release Year - 1989,Kam kapde pehenna tujhe pasand hai ... aur teri is ada pe marna hum mein pasand hai,You like wearing less clothes .... and I love this style of yours

Humko Deewana Kar Gaye,Release Year - 2006,Hum dono bachpan ke woh langotiye dost nahi hai ... hum toh tab ke dost hai jab hum langoti bhi nahi pehente the,We are not childhood friends ... we are friends from the days when we never even wore a nappy

Humko Deewana Kar Gaye,Release Year - 2006,"Sapne aur haqeeqat mein sirf palak khulne aur band hone ka farak hota hai ... palak band toh sapna, khuli toh haqeeqat","Between dream and reality the only difference is of open and close eyelids ... when eyelids are closed it is a dream, when they open it is reality"

Humko Deewana Kar Gaye,Release Year - 2006,"Pyar mein shak ki koi jagah nahi hoti hai ... jahan pyar hota hai, wahan sirf pyar hota hai ... sirf pyar","In love there is no room for suspicion ... where there is love, there is only love ... only love"

Humko Deewana Kar Gaye,Release Year - 2006,Super fast ladki ho ya super fast gaadi ... tumhe dekh ke top gear mein aa jati hai,Be it a super fast girl or a super fast car ... seeing you they get into the top gear

Vivah,Release Year - 2006,Jis din saare beton ke baap aap jaise ho jayenge ... us din betiyan kisi baap ke liye bojh nahi kehlayengi,The day when all fathers of sons become like you ... that day daughters will not be called a burden for any father

Vivah,Release Year - 2006,Yeh joh sagai aur shaadi ke beech ka waqt hota hai na ... bahut adhbut hota hai,The time between engagement and wedding ... is very surreal

Dilwale (1994),Release Year - 1994,"Hum mein toh apno ne loota, gairon mein kahan dum tha ... meri kishti thi doobi wahan, jahan pani kam tha","My own people robbed me, others did not have the courage ... my boat drowned in a place, where the water was less"

Dilwale (1994),Release Year - 1994,"Yeh desh sirf do hi logon pe hasta hai ... hijhron par aur hum policewaalon par ... kyun ki nah hi woh kuch kar sakte hai, aur nah hi hum kuch kar sakte hai","This country only laughs on two people ... on eunuchs and on policemen like us ... because neither they can do anything, and neither can we do anything"

Dilwale (1994),Release Year - 1994,"Dilwale toh bahut dekhe, lekin pyar mein joh pagal ho jaye ... aise dilwale ko aaj pehli baar dekha","I have seen many hearty people, but someone who will go mad in love ... that hearty person I am seeing for the first time"

Dilwale (1994),Release Year - 1994,"Yeh aankhen, yeh chehra, yeh noor ... insaan ho ya pari ho tum","These eyes, this face, this beauty ... are you a human or a fairy"

Purab Aur Pachhim,Release Year - 1970,Apne yahan ki mitti ki khushboo hai na ... woh toh ajnabi logo ki saanson mein bhi sanskar bhar deti hai,Even the smell of soil from our place ... fills culture in the breath of strange people

Purab Aur Pachhim,Release Year - 1970,"Agar tumhare maathey ki bindiya aur maang ka sindoor, suhaag ki nishani nahi kalank hai ... toh mitta do isse","If the bindi on your forehead and the vermilion in the (hair) parting, is a sign of disgrace and not your husband ... then erase it"

Purab Aur Pachhim,Release Year - 1970,Yahan maa baap ke liye aulad sab kuch hai ... aur aulad ke liye maa baap?,Here for the parents the offspring is everything ... and for the offspring the parents?

Purab Aur Pachhim,Release Year - 1970,"Tum usse apna samajhte ho, joh madad leta hai ... main usse apna kehta hoon, joh madad deta hai","One who takes help, you call him a friend ... one who gives help, I call him a friend"

Vishwatma,Release Year - 1992,Tumhare aur maut ke beech ... meri pistol se nikli sirf ek goli ka faasla reh gaya hai,The distance between you and death ... is only that of a bullet fired from my pistol

Vishwatma,Release Year - 1992,"Ajgar kisse, kab aur kahan nighal jaata hai ... yeh toh marne waale ko bhi pata nahin chalta","Who, when and where does a python swallow ... that not even the person dying knows"

Vishwatma,Release Year - 1992,"Meri shaadi ho chuki hai, magar maut se","I am married, but with death"

Vishwatma,Release Year - 1992,Jab bhi hum koi khel khelte hai ... toh saare mohron ko apni ungliyon par nachate hai,Whenver I play any game ... I make all the pawns dance on my fingers

Mujhse Shaadi Karogi,Release Year - 2004,"Badtameez, chaddar ki kameez, lohe ka pajama, bandar tera mama, arre billi teri mausi, kutta tera yaar, aam ka achaar ... aaja mere yaar!","Mannerless, shirt from bedsheet, iron pajama, monkey is your uncle, oh cat is your aunt, dog is your friend, mango pickle ... come my friend!"

Mujhse Shaadi Karogi,Release Year - 2004,"Agar tum meri zindagi mein nahi hoti, toh main kya hota? ... bina jeb ki pant hota, bina sole ka juta hota, bina dil ke shareer hota","If you were not in my life, then what would I have been? ... a pant without a pocket, a shoe without a sole, a body without a heart"

Mujhse Shaadi Karogi,Release Year - 2004,Hum bhi woh hai ... joh door se boo ko soong lete hai,Even I am a person ... who can smell things from a distance

Mujhse Shaadi Karogi,Release Year - 2004,Everything is fair and love is war,Everything is fair and love is war

Main Prem Ki Diwani Hoon,Release Year - 2003,"Kasam ki kasam hai kasam se, humko pyar hai sirf tumse ... ab yeh pyar na hoga phir humse, kasam ki kasam hai kasam se","I swear in the name of swearing itself, that I love only you ... now I can't fall in love again, I swear in the name of swearing itself"

Main Prem Ki Diwani Hoon,Release Year - 2003,A son is a son till he gets himself a wife ... but a daughter is a daughter all her life,A son is a son till he gets himself a wife ... but a daughter is a daughter all her life

Main Prem Ki Diwani Hoon,Release Year - 2003,"Daulat, izzat, shohrat ke samne hum aadmi bhale hi jhuk jaye ... par kehte hai ek aurat ka dil kabhi nahi jhukta","We men bow down in front of money, respect, wealth ... but it is said that a woman's heart never bows down"

Main Prem Ki Diwani Hoon,Release Year - 2003,Aaj kuch isharon mein keh dena ... samajh jaonga,Today say something in gestures ... I will understand

Daag: The Fire,Release Year - 1999,"Jis din tu isse zindagi dega ... main isse maut doonga, maut, sirf maut!","The day you give him life ... I will give him death, death, only death!"

Daag: The Fire,Release Year - 1999,"Tum saans leti ho, toh mera dil dhadakta hai","When you breath, then my heart beats"

Daag: The Fire,Release Year - 1999,Agar main marr gaya toh tu jee gaya ... agar main jee gaya toh tu marr gaya,If I die then you'll live ... if I live then you'll die

Daag: The Fire,Release Year - 1999,Bahadur toh sab hote hai ... main zara sa lucky hoon,Everyone is courageous ... I am a little lucky

Ghulam-E-Musthafa,Release Year - 1997,Jaan mat maangna ... iski bazaar mein koi keemat nahi hai,Don't ask for my life ... it has no value in the market

Ghulam-E-Musthafa,Release Year - 1997,Usne rulaya hai ... wohi hasayega,God made me cry ... God will make me smile

Ghulam-E-Musthafa,Release Year - 1997,Behetar hai tu apna iraada badal de ... nahin toh main tera naksha badal doonga,It's better if you change your opinion ... or else I will change your figure

Ghulam-E-Musthafa,Release Year - 1997,Maut se badkar koi dost nahi hai ... hamesha mere saath chalti hai,There is none better friend than death ... it always walks with me

Gupt,Release Year - 1997,Waada karo ki aaj raat tum mere khwaabon mein zaroor aaoge,Promise me tonight you will come in my dreams

Gupt,Release Year - 1997,"Woh aaye ward mein hamare Sahil ki harkat hai ... kabhi hum unke plaster ko, kabhi apni pattiyon ko dekhte hain","He came to the ward because of Sahil ... sometimes I see his plaster, sometimes I see my bandages"

Gupt,Release Year - 1997,Ek waqt par main sirf ek hi kaam karta hoon ... jab peeta hoon toh khoob peeta hoon ... aur jab duty karta hoon toh sirf duty karta hoon,At one time I only do one work ... when I drink then I drink a lot ... and when I am on duty then I only do duty

Gupt,Release Year - 1997,"Faanoos banke jiski hifaazat sarkar kare ... woh mantri kyun mare, jiska ilaaj poora aspataal kare","One who gets protection like a lamp from the government ... why will that minister die, who gets care from the whole hospital"

Mother India,Release Year - 1957,"Main beta de sakti hoon, laaj nahi de sakti","I can give my son, but not my honor"

Mother India,Release Year - 1957,Tumhari chhaya mein main kadi se kadi dhoop sehan kar loongi,In your shadow I will bear the most severe sunrays

Mother India,Release Year - 1957,"Raasta dikhana sehel hai, par raaste par chalna bahut kathin","Showing the path is easy, but walking on the path is very hard"

Mother India,Release Year - 1957,Bina murga bane vidhya nahi aati,Knowledge does not come without becoming a chicken

Dil,Release Year - 1990,Woh aake gire hum pe bijli ke khambe ki tarah ... khuda ki kasam current kha ke mazaa aa gaya,She feel on me like a light pole ... I swear on God I enjoyed it like a current

Dil,Release Year - 1990,Agar tumhare ishq ko koi laal jhanda dikhayega ... yakeen karo yeh ghalib unko dhanda dikhayega,If anyone shows a red flag to your love ... believe me this conqueror will show them a stick

Dil,Release Year - 1990,"Jise main jigar ka tukda samjhta tha, usne mere jigar ke tukde tukde kar diye ... jise main aankh ka tara samajhta tha, usne badnaami ka kajal banke mera mooh kala kar diya","Whom I thought was extremely dear to me, she broke my heart into pieces ... whom I thought was a star for my eyes, she made my face black by becoming the eyeliner of disgrace"

Dil,Release Year - 1990,Hum saath jee nahi sake toh kya hua ... saath mar to sakte hai,So what we could't live together ... we can die together

Ram Jaane,Release Year - 1995,Oonchi building mein rehne waala footpath pe chalne waala ka khoon choosta hai,People who live in big buildings suck the blood of people who walk on the footpath

Ram Jaane,Release Year - 1995,Humse aankhen milane wala ... bahut jaldi aankhen bandh kar deta hai,One who looks to me in the eyes ... closes his eyes very shortly

Ram Jaane,Release Year - 1995,Yeh apun ka style hai kya ... jiyo toh seena taan ke jiyo ... maro toh seena taan ke maro,"This is my style you understand ... when you live life, live boldly ... when you die, die boldly"

Ram Jaane,Release Year - 1995,Joh maidan mein ghutne tek de woh dosti karne ke kabil nahi re,One who gives up on the ground is not worth being a friend

Inquilaab,Release Year - 1984,Pehle main tumhare pyar mein deewani thi ... aaj main tumhare izzat ki deewani ho gayi,First I was crazy in your love ... today I have become crazy of your honor

Inquilaab,Release Year - 1984,Mujhe bhi giraftaar kar lo na ... pyar ki hathkadi lagakar dil ke lock up mein qaid kar lo na,Arrest me also ... put the handcuff of love on me and imprison me in the lock up of the heart

Inquilaab,Release Year - 1984,"Mere haath kanoon se zyada lambe hai ... jahan mera haath ja sakta hai, wahan kanoon ka haath nahi ja sakta","My hands are longer than the hands of the law ... where my hands can reach, the hands of the law can't reach"

Inquilaab,Release Year - 1984,"Siyasat ki duniya mein maa, baap, bhai, behen, beti, damad koi kuch nahi hota ... kyun ki aadmi jab upar uthna chahta hai, tab yeh sab rishtey aur jazbaat bojh bankar usse neeche ghaseet lete hai","In the world of politics there is no mother, father, brother, sister, daughter, son-in-law ... because when a man wants to rise, then all these relations and emotions burden him and pull him down"

Hero (1983),Release Year - 1983,Nazuk ladkiyan dadagiri karte huye achchi nahi lagti,Delicate girls don't look good when bossing

Hero (1983),Release Year - 1983,Pyar ek imtihaan hai ... aur nateeje se darne waalo ka pyar jhoota hota hai,"Love is a test ... and those who fear it's results, their love is a lie"

Hero (1983),Release Year - 1983,"Patthar ki duniya, patthar ke dil, patthar ki Heer ... tu jaisi bhi hai manzoor hai","The world is made of stones, and stone hearten people, the stone statue of Heer ... however you are, I accept you"

Hero (1983),Release Year - 1983,"Aap ki kameez ka size bahut chota hai, Sir ... kyun ki mera seena aap se bahut bada hai","Sir, the size of your shirt is very small ... because my chest is much bigger than yours"

Jo Jeeta Wohi Sikandar,Release Year - 1992,"Jab main tumse pehli baar mili thi, main nahi jaanti thi ki tum kaun ho ... lekin jab tumhe dekha toh aise laga jaise ... tumhara hi intezaar tha","When I met you for the first time, I didn't know who you were ... but when I saw you I felt as if ... I was waiting for you"

Jo Jeeta Wohi Sikandar,Release Year - 1992,Aakhri chand second hi toh haar aur jeet ka faisla karte hai,The last few seconds make the decision between winning and losing

Jo Jeeta Wohi Sikandar,Release Year - 1992,Ek ek kona toh sabke paas hai ... magar ladki kisi ko bhi nahi milti,Everyone has one corner ... but no one has a girl

Jo Jeeta Wohi Sikandar,Release Year - 1992,Jis insaan ne pehli baat jhoot se shuru ki ho ... usse kisi aur ko jhoota kehne ka koi haq nahi hai,The person who started the first conversation with a lie ... he has no right to call someone else a liar

Thakshak,Release Year - 1999,"Ek anbani si muskaan ke peeche dard ki karaah sunai de toh bhi ... yeh sunheri tanhayi jazbaaton se takraake bikhar jaaye toh bhi ... hum kuch nahi bolenge, kuch nahi bolenge, kuch nahi bolenge","Even if I hear the moan of pain behind a half hearten smile ... even if this golden loneliness straggles after hitting with emotions ... I won't say anything, won't say anything, won't say anything"

Thakshak,Release Year - 1999,Agar waqt ke saath nahi chalenge to raund diye jayenge,You will be crushed if you don't walk with time

Thakshak,Release Year - 1999,Sach ke liye har keemat chuka sakne ki himmat mujhe tumse mili hai ... tumhe kho sakne ki himmat bhi mujhe tumse mili hai,I have got the courage from you to pay any price for truth ... I have also got the courage from you to lose you

Thakshak,Release Year - 1999,Darro mat ... main Mahatma Gandhi nahi hoon,Don't be scared ... I am not Mahatma Gandhi

Zakhm,Release Year - 1998,Meri pehchaan tum dono ki zindagi mein ek zakhm hai,My identity is a wound in both of your lifes

Zakhm,Release Year - 1998,"Aandhi jab chalti hai na ... toh haath chhodne ka nahi, haath thaamne ka waqt hota hai","When there is a storm blowing ... then it's the time to hold a hand, not to leave it"

Zakhm,Release Year - 1998,Maa aur mulk badle nahi jate,One does not change their mother and country

Zakhm,Release Year - 1998,Hamari zindagi hamari hote huye bhi hamesha hamari nahi hoti hai ... hum mein woh zindagi bhi jeeni padti hai jise jeene ki log humse umeed karte hai,Our life being ours is still not always ours ... we also have to live the life what others expect us to live

Qayamat Se Qayamat Tak,Release Year - 1988,Doobte huye suraj ki kiranon mein ... har khoobsurat cheez aur bhi khoobsurat lagne lagti hai,In the rays of the setting sun ... every beautiful thing looks more beautiful

Qayamat Se Qayamat Tak,Release Year - 1988,Agar hum kisi ke liye deewane ho gaye ... toh yeh koi zaroori toh nahi ... ke woh bhi humare liye deewana ho jaye,If I go crazy for someone ... then it is not necessary that ... that person should also go crazy for me

Qayamat Se Qayamat Tak,Release Year - 1988,"Is hi doobte hue suraj ne hum mein pehli baar milaya tha ... dekh lena, yahi doobta hua suraj hum mein ek din hamesha ke liye mila dega","This setting sun made us meet for the first time ... you'll see, the same setting sun one day will make us meet forever"

Qayamat Se Qayamat Tak,Release Year - 1988,Main duniya ki har musibat ka saamna karne ke liye tayaar hoon ... bas ek tumhara saath chahiye,I am ready to face every problem of this world ... I only need your support

Arjun Pandit,Release Year - 1999,Chehre par bholapan hai aur aankhon mein pagalpan ... aise log bahut khatarnak hote hain ... bahut khatarnak,People who have simplicity on their face and madness in their eyes ... are very dangerous ... very dangerous

Arjun Pandit,Release Year - 1999,Jaise purana cricketer commentator banta hai na ... waise purani gadi museum mein jati hai,Just like an old cricketer becomes a commentator ... just like that an old car goes in the museum

Arjun Pandit,Release Year - 1999,Aise kaam ke liye himmat ki zaroorat nahi hoti ... sirf iraada hona chahiye,For this work you don't need courage ... you only need an intention

Arjun Pandit,Release Year - 1999,Hathyar becha jata hai ... koi apni taqat nahi bechta,One sells a weapon ... no one sells his strength

Zamane Se Kya Darna,Release Year - 1994,Roohein toh kamzarf aur buzdil insaanon ki kaapti hai,Only the souls of ungenerous and the cowards shiver

Zamane Se Kya Darna,Release Year - 1994,"Train mein safar kiya, plane mein safar kiya, caron mein safar kiya ... magar kisi bhi safar ka itna mazaa nahi aaya jitna in baahon ke safar mein aa raha hai","Traveled in a train, traveled in a plane, traveled in cars ... but no journey was as much fun as this journey in your arms is"

Zamane Se Kya Darna,Release Year - 1994,Pyar ka badla pyar aur dosti ka badla dosti ... yeh mera usool hai,Revenge of love is love and revenge of friendship is friendship ... this is my rule

Zamane Se Kya Darna,Release Year - 1994,Main kaam ko puja maanta hoon ... aur kaam karne wali jagah ko swarg,I believe that work is worship ... and the workplace is heaven

Dulhe Raja,Release Year - 1998,"Meri maa ne kaha tha ... ki jab bhi koi buzurg tum par haath uthaye, toh uska jawab muskurakar dena","My mom had said ... whenever an older person raises their hand on you, then reply to that with a smile"

Dulhe Raja,Release Year - 1998,"Daulat ka kya hai, woh toh aati jati rehti hai ... magar beti toh ghar ki izzat hai ... aur izzat ek baar chali jaye toh woh laut kar vapis nahi aaya karti","Who cares for wealth, it comes and goes ... but daughter is the honor of the house ... and once honor goes away then it never comes back"

Dulhe Raja,Release Year - 1998,Aaj tak mujhe tum jaisi koi ladki dikhi hi nahi ... dikhi hai toh mili hi nahi ... mili nahi toh baat bani hi nahi ... baat bani nahi toh baat aage badhi hi nahi ... isliye main zindagi mein peeche reh gaya,Till today I have not seen a girl like you ... if seen then I've never met ... if I've never met then the point is never made ... if the point is never made then the point has never moved ahead ... that's why I was left behind in life

Dulhe Raja,Release Year - 1998,Yeh andhere mein hazaar volt ke jhatke kyun de rahi ho? ... mere dil mein na jaane kaise kaise bulb jal uthe,Why are you giving thousand volt shocks in the dark? ... I'm not sure what different kinds of bulbs are lighting up in my heart

Maidan-E-Jung,Release Year - 1995,Iske tukde tukde karke poore gaon mein prasad ki tarah baant do,Cut him into pieces and distribute them into the whole village

Maidan-E-Jung,Release Year - 1995,Aaj ke is kalyug mein ... tumhara bhagwan bhi is shaitan se darta hai,In this modern era ... even your God is scared of this satan

Maidan-E-Jung,Release Year - 1995,"Zindagi ek paheli hai ... kabhi dushman, kabhi saheli hai","Life is a riddle ... sometimes it is an enemy, sometimes it is a girlfriend"

Maidan-E-Jung,Release Year - 1995,Darye us bhagwan se ... sabse badi goli hoti hai uske paas joh bewaqt chalti hai,Be scared of God ... he has the biggest bullet which gets fired anytime

Imtihaan,Release Year - 1995,Meri mohabbat ek chutki bhar sindoor ki mohtaj nahi,My love is not dependent on one pinch of vermilion

Imtihaan,Release Year - 1995,Suraj ki pehli kiran aapke bunglay aur mere ghar pe barabar ki roshni dalti hai,The Sun shines it first rays equally on your bungalow and my house

Imtihaan,Release Year - 1995,"Atma toh pehle hi kisi aur ki ho gayi hai ... reh gaya yeh shareer, isse bhagwan ko arpan kar dete hai","My soul is already someone else's ... whats left is this body, lets offer that to God"

Imtihaan,Release Year - 1995,Tumhare shareer ke pedh par ... jawani ka naya phool khil gaya,On the tree of your body ... a new flower of youth has blossomed

Himmatwala (2013),Release Year - 2013,Yeh haath hai ki hathoda ... keedon ki basti mein kaunsa aa gaya makauda,This is a hand or a hammer ... who is this spider in the colony of bugs

Himmatwala (2013),Release Year - 2013,"Duniya waalo mujhe na dikhao aaina ... nahi toh main bolonga ""Made In China""","People of this world don't show me a mirror ... or else I will say ""Made In China"""

Himmatwala (2013),Release Year - 2013,Purane khandar ki giri hui deewar pe tangi hui badsurat tasveer ke peeche chupi hui gadni chipkali ki phad-phadati pooch pe lehrati hui cheenti,You are an ant roaming on the trembling tail of a dirty lizard who is hiding behind an ugly picture hanging on a broken wall of an old ruin

Himmatwala (2013),Release Year - 2013,Kerala ke karele se Bareilly ki barfi banta ja raha hai tu,You are turning from a bitter gourd from Kerala into a dessert from Bareilly

Zila Ghaziabad,Release Year - 2013,Pichwade mein itni goli maroonga ... ki uske bachche pittal ke paida honge,I will shoot so many bullets in his ass ... that his kids will be born of brass

Zila Ghaziabad,Release Year - 2013,Aaj agar maut khud mere aur uske beech khadi ho jaaye na ... toh main maut ko bhi maar doonga,Today even if death stands between me and him ... then I will kill death also

Zila Ghaziabad,Release Year - 2013,"Na courat, na kacheri, na appeal, na date ... direct sazaa","No court, no judiciary, no appeal, no date ... direct punishment"

Zila Ghaziabad,Release Year - 2013,Kutta kitna bhi khatarnak ho jaaye ... sher ki nahi le paata,No matter how dangerous a dog gets ... he cannot take on a tiger

David,Release Year - 2013,"Is duniya mein na, pyar naam ka ek hi emotion hai ... baki sab lose motion hai","In this world, love is the only emotion ... everything else is lose motion"

David,Release Year - 2013,Kabhi kabhi kuch galat hi sahi hota hai,Sometimes something wrong is the right

David,Release Year - 2013,Rajneeti mein dushman ko ya toh doshi banao ... ya toh misaal,In politics you make your enemy guilty ... or an example

David,Release Year - 2013,Mind jab bhi bolta hai galat hi bolta hai ... lekin heart kabhi galat nahi bolta ... bas heart ko sunne waala ek mind hona chahiye,Whenever the mind says it says wrong things ... but the heart never says wrong things ... it's just that you need a mind that listens to the heart

Desh Premee,Release Year - 1982,Taqdeer kabhi kabhi insaan ko apne hi desh mein pardesi bana deti hai,Destiny sometimes makes one a foreigner in their own country

